MSA,State,County,rent50_2,rent50_0,rent50_1,rent50_3,rent50_4,State_Alpha,CountyName,pop,FMRtype,msaname,StateName,FMRArea
10000,8,49,681,533,537,852,1032,CO,Grand,7966,40,,COLORADO,800049
10000,8,51,588,454,471,794,946,CO,Gunnison,10273,40,,COLORADO,800051
10000,8,53,582,449,475,785,935,CO,Hinsdale,467,40,,COLORADO,800053
10000,8,55,582,449,467,786,937,CO,Huerfano,6009,40,,COLORADO,800055
10000,8,57,576,444,461,777,926,CO,Jackson,1605,40,,COLORADO,800057
10000,8,61,573,442,459,774,922,CO,Kiowa,1688,40,,COLORADO,800061
10000,8,63,573,442,459,774,922,CO,Kit Carson,7140,40,,COLORADO,800063
10000,8,65,574,443,460,775,924,CO,Lake,6007,40,,COLORADO,800065
10000,8,67,826,567,627,1151,1358,CO,La Plata,32284,40,,COLORADO,800067
10000,8,71,581,448,480,785,935,CO,Las Animas,13765,40,,COLORADO,800071
10000,8,73,583,449,467,786,937,CO,Lincoln,4529,40,,COLORADO,800073
10000,8,75,573,442,459,774,922,CO,Logan,17567,40,,COLORADO,800075
10000,8,79,573,442,459,774,922,CO,Mineral,558,40,,COLORADO,800079
10000,8,81,573,442,459,774,922,CO,Moffat,11357,40,,COLORADO,800081
10000,8,83,573,442,459,774,922,CO,Montezuma,18672,40,,COLORADO,800083
10000,8,85,583,444,461,808,952,CO,Montrose,24423,40,,COLORADO,800085
10000,8,87,573,442,459,774,922,CO,Morgan,21939,40,,COLORADO,800087
10000,8,89,573,442,459,774,922,CO,Otero,20185,40,,COLORADO,800089
10000,8,91,588,448,465,784,951,CO,Ouray,2295,40,,COLORADO,800091
10000,8,93,631,437,484,875,996,CO,Park,7174,40,,COLORADO,800093
10000,8,95,573,442,459,774,922,CO,Phillips,4189,40,,COLORADO,800095
10000,8,97,1219,668,915,1607,1828,CO,Pitkin,12661,40,,COLORADO,800097
10000,8,99,571,441,458,771,919,CO,Prowers,13347,40,,COLORADO,800099
10000,8,103,573,442,459,773,921,CO,Rio Blanco,5972,40,,COLORADO,800103
10000,8,105,572,442,459,773,921,CO,Rio Grande,10770,40,,COLORADO,800105
10000,8,107,701,439,530,974,1148,CO,Routt,14088,40,,COLORADO,800107
10000,8,109,581,448,466,785,935,CO,Saguache,4619,40,,COLORADO,800109
10000,8,111,573,442,459,774,922,CO,San Juan,745,40,,COLORADO,800111
