"fips_st","fips_puma","owner_occ","total","per_owner"
18,3600,483,598,80.7692307692308
18,3700,306,478,64.0167364016736
18,3800,511,608,84.046052631579
19,100,643,777,82.7541827541828
19,200,574,684,83.9181286549708
19,300,835,978,85.3783231083845
19,400,322,413,77.9661016949153
19,500,695,853,81.4771395076202
19,600,740,906,81.6777041942605
19,700,256,382,67.0157068062827
19,800,555,698,79.512893982808
19,900,421,519,81.1175337186898
19,1000,662,813,81.4268142681427
19,1100,271,352,76.9886363636364
19,1200,700,882,79.3650793650794
19,1300,807,1012,79.7430830039526
19,1400,402,557,72.1723518850987
19,1500,486,587,82.793867120954
19,1600,473,616,76.7857142857143
19,1700,454,553,82.0976491862568
19,1800,468,576,81.25
19,1900,405,533,75.984990619137
20,100,527,646,81.578947368421
20,200,490,607,80.7248764415156
20,300,473,668,70.808383233533
20,400,575,727,79.092159559835
20,500,314,455,69.010989010989
20,601,361,479,75.3653444676409
20,602,300,385,77.922077922078
20,603,335,427,78.4543325526932
20,604,324,404,80.1980198019802
20,700,290,425,68.235294117647
20,800,446,605,73.7190082644628
20,900,518,660,78.4848484848485
20,1000,394,488,80.7377049180328
20,1100,549,674,81.454005934718
20,1200,486,625,77.76
20,1300,703,840,83.6904761904762
20,1401,242,361,67.0360110803324
20,1402,273,377,72.4137931034483
20,1403,259,377,68.7002652519894
20,1500,414,529,78.2608695652174
20,1600,484,603,80.2653399668325
21,100,697,884,78.8461538461538
21,200,430,540,79.6296296296296
21,300,316,434,72.8110599078341
21,400,499,650,76.7692307692308
21,500,386,502,76.8924302788845
21,600,633,794,79.7229219143577
21,700,287,372,77.1505376344086
21,800,321,440,72.9545454545455
21,900,290,401,72.3192019950125
21,1000,457,588,77.7210884353742
21,1100,466,642,72.5856697819315
21,1200,445,558,79.7491039426523
21,1300,456,551,82.7586206896552
21,1400,333,456,73.0263157894737
21,1500,409,514,79.5719844357977
21,1600,348,456,76.3157894736842
21,1701,249,511,48.7279843444227
21,1702,518,663,78.129713423831
21,1703,1065,1294,82.3029366306028
21,1704,356,496,71.7741935483871
21,1705,402,526,76.425855513308
21,1800,729,873,83.5051546391753
21,1901,258,447,57.7181208053691
21,1902,448,628,71.3375796178344
21,2000,412,552,74.6376811594203
21,2100,438,563,77.797513321492
21,2200,481,599,80.3005008347245
21,2300,345,441,78.2312925170068
21,2400,472,644,73.2919254658385
