"state","year","quarter","HPI_not_seasonally_adjusted","HPI_seasonally_adjusted"
"IN",2003,2,153.24,151.93
"IN",2003,3,154.57,153.16
"IN",2003,4,155.38,155.14
"IN",2004,1,155.1,155.59
"IN",2004,2,159.57,158.06
"IN",2004,3,160.23,158.52
"IN",2004,4,159.77,159.75
"IN",2005,1,160.22,160.89
"IN",2005,2,163.97,162.31
"IN",2005,3,164.82,162.7
"IN",2005,4,165.83,166.23
"IN",2006,1,165.07,165.76
"IN",2006,2,168.52,166.79
"IN",2006,3,170.17,167.59
"IN",2006,4,167.29,168.17
"IN",2007,1,167.85,168.42
"IN",2007,2,171.13,169.43
"IN",2007,3,171.5,168.51
"IN",2007,4,166.44,167.82
"IN",2008,1,166.42,166.77
"IN",2008,2,166.95,165.36
"IN",2008,3,167.68,164.51
"IN",2008,4,159.66,161.32
"IN",2009,1,161.58,161.76
"KS",2000,1,148.56,148.94
"KS",2000,2,151.23,150.37
"KS",2000,3,153.16,152.12
"KS",2000,4,152.19,152.42
"KS",2001,1,154.24,154.74
"KS",2001,2,158.17,157.12
"KS",2001,3,159.46,158.38
"KS",2001,4,160.59,160.87
"KS",2002,1,160.79,161.46
"KS",2002,2,164.27,162.96
"KS",2002,3,165.94,164.89
"KS",2002,4,166.09,166.37
"KS",2003,1,167.2,168.01
"KS",2003,2,170.12,168.58
"KS",2003,3,172.72,171.72
"KS",2003,4,173.07,173.36
"KS",2004,1,174.09,175.03
"KS",2004,2,179.39,177.59
"KS",2004,3,179.5,178.56
"KS",2004,4,180.37,180.64
"KS",2005,1,181.94,183.05
"KS",2005,2,186.3,184.25
"KS",2005,3,186.43,185.49
"KS",2005,4,187.54,187.87
"KS",2006,1,189.68,190.94
"KS",2006,2,192.95,190.67
"KS",2006,3,195.27,194.29
"KS",2006,4,195.45,195.81
"KS",2007,1,195.62,197.03
"KS",2007,2,201.3,198.83
"KS",2007,3,199.8,198.74
"KS",2007,4,198.85,199.27
"KS",2008,1,196.49,197.98
"KS",2008,2,200.96,198.46
"KS",2008,3,198.99,197.86
"KS",2008,4,195.91,196.34
"KS",2009,1,194.7,196.26
"KY",2000,1,146.09,146.68
"KY",2000,2,147.78,147.54
"KY",2000,3,148.71,148.56
"KY",2000,4,149.69,149.92
"KY",2001,1,150.28,150.96
"KY",2001,2,152.89,152.59
"KY",2001,3,153.96,153.86
"KY",2001,4,155.18,155.34
"KY",2002,1,155.23,156.02
"KY",2002,2,158.48,158.16
"KY",2002,3,158.83,158.66
"KY",2002,4,160.97,161.15
"KY",2003,1,161.71,162.6
"KY",2003,2,164.99,164.64
"KY",2003,3,167.17,166.87
"KY",2003,4,168.42,168.69
"KY",2004,1,170.66,171.7
"KY",2004,2,172.62,172.21
"KY",2004,3,174.7,174.18
"KY",2004,4,176.12,176.59
"KY",2005,1,176.41,177.62
"KY",2005,2,180.37,179.84
"KY",2005,3,183.01,182.21
"KY",2005,4,183.2,183.88
"KY",2006,1,185.92,187.45
"KY",2006,2,188.14,187.38
