"cbsatype","state","puma5","stab","pop2k","afact"
"cbsatype","FIPS state","puma5","State Postal Code","Total Pop, 2000 census","cbsatype to puma5 alloc factor"
"Metro","06","06602","CA",127518,0.001 
"Metro","06","06701","CA",198345,0.001 
"Metro","06","06702","CA",201002,0.001 
"Metro","06","06801","CA",191282,0.001 
"Metro","06","06802","CA",137014,0.001 
"Metro","06","06900","CA",108724,0 
"Metro","06","07000","CA",126003,0.001 
"Metro","06","07100","CA",165198,0.001 
"Metro","06","07200","CA",189594,0.001 
"Metro","06","07300","CA",143072,0.001 
"Metro","06","07400","CA",128919,0.001 
"Metro","06","07501","CA",156600,0.001 
"Metro","06","07502","CA",181377,0.001 
"Metro","06","07601","CA",172917,0.001 
"Metro","06","07602","CA",168193,0.001 
"Metro","06","07603","CA",187462,0.001 
"Metro","06","07604","CA",205563,0.001 
"Metro","06","07605","CA",188133,0.001 
"Metro","06","07606","CA",200540,0.001 
"Metro","06","07607","CA",195698,0.001 
"Metro","06","07700","CA",124966,0.001 
"Metro","06","07801","CA",111647,0 
"Metro","06","07802","CA",143519,0.001 
"Metro","06","07900","CA",142381,0.001 
"Metro","06","08001","CA",288783,0.001 
"Metro","06","08002","CA",196134,0.001 
"Metro","06","08003","CA",182040,0.001 
"Metro","06","08004","CA",196172,0.001 
"Metro","06","08005","CA",159745,0.001 
"Metro","06","08101","CA",241025,0.001 
"Metro","06","08102","CA",124020,0.001 
"Metro","06","08103","CA",149147,0.001 
"Metro","06","08104","CA",183293,0.001 
"Metro","06","08105","CA",210139,0.001 
"Metro","06","08106","CA",107380,0 
"Metro","06","08107","CA",168125,0.001 
"Metro","06","08108","CA",227240,0.001 
"Metro","06","08109","CA",230212,0.001 
"Metro","06","08110","CA",125132,0.001 
"Metro","06","08111","CA",139299,0.001 
"Metro","06","08112","CA",164234,0.001 
"Metro","06","08113","CA",176440,0.001 
"Metro","06","08114","CA",172344,0.001 
"Metro","06","08115","CA",208114,0.001 
"Metro","06","08116","CA",187689,0.001 
"Metro","06","08200","CA",142361,0.001 
"Metro","08","00101","CO",15861,0 
"Metro","08","00102","CO",120093,0.001 
"Metro","08","00103","CO",113143,0 
"Metro","08","00200","CO",118652,0.001 
"Metro","08","00300","CO",180936,0.001 
"Metro","08","00400","CO",19872,0 
"Metro","08","00501","CO",7499,0 
"Metro","08","00502","CO",133973,0.001 
"Metro","08","00801","CO",107466,0 
"Metro","08","00802","CO",113092,0 
"Metro","08","00803","CO",107227,0 
"Metro","08","00804","CO",101798,0 
"Metro","08","00805","CO",105982,0 
"Metro","08","00806","CO",110684,0 
"Metro","08","00807","CO",101408,0 
"Metro","08","00808","CO",112814,0 
"Metro","08","00809","CO",103816,0 
"Metro","08","00810","CO",113602,0 
"Metro","08","00811","CO",102959,0 
"Metro","08","00812","CO",117406,0.001 
"Metro","08","00813","CO",100089,0 
"Metro","08","00814","CO",100910,0 
"Metro","08","00815","CO",142364,0.001 
"Metro","08","00816","CO",114985,0 
"Metro","08","00817","CO",109722,0 
"Metro","08","00818","CO",100888,0 
"Metro","08","00819","CO",135315,0.001 
"Metro","08","00820","CO",104775,0 
