"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"310","Sumter,  SC","10",10,0,0,0,0,100
"311","Syracuse, NY","28",26,2,0,0,0,61
"312","Tallahassee, FL","96",75,0,0,21,1,100
"313","Tampa-St. Petersburg-Clearwater,  FL","699",248,0,0,451,28,NA
"314","Texarkana, TX-Texarkana, AR","3",3,0,0,0,0,100
"315","Toledo, OH","47",36,0,6,5,1,92
"316","Topeka, KS","31",28,0,3,0,0,90
"317","Trenton-Ewing,  NJ","14",14,0,0,0,0,100
"318","Tucson,  AZ","107",97,2,0,8,1,100
"319","Tulsa,  OK","94",94,0,0,0,0,100
"320","Tuscaloosa, AL","130",14,0,0,116,5,93
"321","Tyler, TX","11",6,0,0,5,1,79
"322","Utica-Rome, NY","0",0,0,0,0,0,5
"323","Valdosta, GA","29",22,2,0,5,1,87
"324","Vallejo-Fairfield, CA","25",25,0,0,0,0,92
"325","Victoria, TX","3",3,0,0,0,0,55
"326","Vineland-Millville-Bridgeton,  NJ","24",19,0,0,5,1,100
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","158",119,6,4,29,3,NA
"328","Waco, TX","12",12,0,0,0,0,77
"329","Warner Robins, GA","30",30,0,0,0,0,82
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","588",485,0,0,103,3,NA
"331","Wausau, WI","6",6,0,0,0,0,74
"332","Weirton-Steubenville, WV-OH","1",1,0,0,0,0,53
"333","Wenatchee, WA","22",22,0,0,0,0,72
"334","Wheeling, WV-OH","0",0,0,0,0,0,68
"335","Wichita Falls, TX","5",5,0,0,0,0,89
"336","Wichita, KS","98",90,8,0,0,0,88
"337","Williamsport, PA","1",1,0,0,0,0,16
"338","Wilmington,  NC","195",150,2,0,43,4,100
"339","Winchester, VA-WV","15",15,0,0,0,0,84
"340","Winston-Salem, NC","33",33,0,0,0,0,90
"341","Worcester, MA","38",34,4,0,0,0,69
"342","Yakima, WA","13",13,0,0,0,0,40
"343","York-Hanover, PA","28",23,0,0,5,1,79
"344","Youngstown-Warren-Boardman, OH-PA","21",11,2,3,5,1,96
"345","Yuba City, CA","4",4,0,0,0,0,91
"346","Yuma, AZ","30",30,0,0,0,0,72
