"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"313","Tampa-St. Petersburg-Clearwater,  FL","712",390,4,18,300,18,NA
"314","Texarkana, TX-Texarkana, AR","18",11,2,0,5,1,100
"315","Toledo, OH","95",75,8,0,12,2,92
"316","Topeka, KS","53",51,2,0,0,0,90
"317","Trenton-Ewing,  NJ","43",27,2,0,14,1,100
"318","Tucson,  AZ","382",351,4,4,23,2,100
"319","Tulsa,  OK","318",298,20,0,0,0,100
"320","Tuscaloosa, AL","113",47,0,0,66,4,93
"321","Tyler, TX","22",17,0,0,5,1,79
"322","Utica-Rome, NY","1",1,0,0,0,0,5
"323","Valdosta, GA","60",60,0,0,0,0,87
"324","Vallejo-Fairfield, CA","38",31,2,0,5,1,92
"325","Victoria, TX","7",7,0,0,0,0,55
"326","Vineland-Millville-Bridgeton,  NJ","51",46,0,0,5,1,100
"327","Virginia Beach-Norfolk-Newport News,  VA-NC","403",290,10,12,91,8,NA
"328","Waco, TX","55",55,0,0,0,0,77
"329","Warner Robins, GA","57",57,0,0,0,0,82
"330","Washington-Arlington-Alexandria,  DC-VA-MD-WV","1233",956,24,0,253,18,NA
"331","Wausau, WI","78",12,2,0,64,5,74
"332","Weirton-Steubenville, WV-OH","5",5,0,0,0,0,53
"333","Wenatchee, WA","47",47,0,0,0,0,72
"334","Wheeling, WV-OH","0",0,0,0,0,0,68
"335","Wichita Falls, TX","41",10,0,0,31,2,89
"336","Wichita, KS","178",153,4,0,21,2,88
"337","Williamsport, PA","2",2,0,0,0,0,16
"338","Wilmington,  NC","387",315,4,0,68,4,100
"339","Winchester, VA-WV","41",41,0,0,0,0,84
"340","Winston-Salem, NC","145",145,0,0,0,0,90
"341","Worcester, MA","48",48,0,0,0,0,69
"342","Yakima, WA","22",19,0,3,0,0,40
"343","York-Hanover, PA","151",104,0,0,47,2,79
"344","Youngstown-Warren-Boardman, OH-PA","41",33,2,0,6,1,96
"345","Yuba City, CA","17",17,0,0,0,0,91
"346","Yuma, AZ","36",34,2,0,0,0,72
