CONTROL,SMSA,PWT,WEIGHT
'000000000041','8840',385.0634,410.05179881
'000000000042','0720',223.5291,268.66951133
'000000000042','1000',80.0639,85.645151414
'000000000042','1640',32.708575,35.257046757
'000000000042','5120',246.0386,279.85372458
'000000000042','5680',131.9648,144.42202937
'000000000042','5775',188.917,202.89242144
'000000000042','6480',67.884675,71.842113356
'000000000042','6840',72.5802,83.296430388
'000000000042','7160',92.2085067,99.082039962
'000000000042','7360',150.6233,162.6433386
'000000000042','7400',123.1232,157.07172723
'000000000042','8280',238.897,270.29015479
'000000000042','8840',385.0634,399.15205572
'000000000043','0720',223.5291,284.34786842
'000000000043','1000',80.0639,85.645151414
'000000000043','1120',305.76015,0
'000000000043','1640',130.8343,141.02818703
'000000000043','3360',161.13501,178.54409714
'000000000043','5120',184.52895,211.12939318
'000000000043','5680',131.9648,150.76914273
'000000000043','5775',141.68775,171.27166845
'000000000043','6480',90.5129,0
'000000000043','6840',96.7736,97.934221488
'000000000043','7160',92.2085067,99.082039962
'000000000043','7360',150.6233,173.88467889
'000000000043','7400',123.1232,157.07172723
'000000000043','8280',238.897,0
'000000000043','8840',385.0634,0
'000000000044','0720',223.5291,272.3558441
'000000000044','1000',80.0639,0
'000000000044','1640',130.8343,138.8127615
'000000000044','5120',246.0386,281.50585757
'000000000044','5680',131.9648,138.37698342
'000000000044','5775',188.917,0
'000000000044','6480',90.5129,0
'000000000044','6840',24.1934,27.765476796
'000000000044','7360',75.31165,90.937580095
'000000000044','7400',123.1232,157.07172723
'000000000044','8280',238.897,270.29015479
'000000000044','8840',385.0634,399.231542
'000000000045','0720',223.5291,0
'000000000045','1000',80.0639,82.605577973
'000000000045','1120',305.76015,362.74563205
'000000000045','1640',130.8343,141.02818703
'000000000045','5120',61.50965,62.165105723
'000000000045','5680',131.9648,142.70036399
'000000000045','5775',141.68775,160.6017863
'000000000045','6480',90.5129,95.789484474
'000000000045','6840',96.7736,111.06190718
'000000000045','7160',92.2085067,99.082039962
'000000000045','7360',150.6233,0
'000000000045','7400',123.1232,151.86074201
'000000000045','8280',238.897,268.04284436
'000000000045','8840',288.79755,299.36404179
'000000000046','0720',223.5291,249.38588021
'000000000046','1000',80.0639,87.150710167
'000000000046','1120',305.76015,0
'000000000046','1640',65.41715,0
'000000000046','5120',184.52895,211.12939318
'000000000046','5680',131.9648,131.74814589
'000000000046','5775',188.917,236.84880644
'000000000046','6480',67.884675,90.083414222
'000000000046','6840',48.3868,55.530953592
'000000000046','7160',92.2085067,99.825913126
'000000000046','7360',150.6233,0
'000000000046','7400',123.1232,0
'000000000046','8280',238.897,270.29015479
'000000000046','8840',385.0634,421.09652089
'000000000047','0720',223.5291,0
'000000000047','1000',80.0639,88.712116902
'000000000047','1120',152.880075,177.99063682
'000000000047','1640',65.41715,70.514093514
'000000000047','5120',246.0386,0
'000000000047','5680',131.9648,140.92209802
'000000000047','5775',188.917,214.13571507
'000000000047','6480',90.5129,120.11121896
'000000000047','6840',96.7736,111.06190718
'000000000047','7160',92.2085067,99.082039962
'000000000047','7360',37.655825,45.468790048
'000000000047','7400',123.1232,0
'000000000047','8280',238.897,268.04284436
'000000000047','8840',385.0634,437.03383946
'000000000048','0720',223.5291,274.19974182
'000000000048','1000',40.03195,43.575355083
'000000000048','1640',130.8343,135.67069759
'000000000048','3360',241.702515,267.81614572
'000000000048','5120',184.52895,211.12939318
'000000000048','5680',131.9648,0
'000000000048','5775',188.917,236.84880644
'000000000048','6480',45.25645,47.894742237
'000000000048','6840',96.7736,111.06190718
'000000000048','7160',92.2085067,99.082039962
'000000000048','7360',150.6233,162.6433386
'000000000048','7400',123.1232,151.86074201
'000000000048','8280',238.897,270.29015479
'000000000048','8840',385.0634,444.3318339
'000000000049','0720',223.5291,268.66951133
'000000000049','1000',80.0639,88.712116902
'000000000049','1120',229.3201125,272.05922404
'000000000049','1640',130.8343,140.75243041
'000000000049','5120',123.0193,126.03577819
'000000000049','5680',131.9648,141.27036528
'000000000049','5775',94.4585,107.06785753
'000000000049','6480',67.884675,71.842113356
'000000000049','6840',96.7736,0
'000000000049','7160',92.2085067,98.699619679
'000000000049','7360',150.6233,173.88467889
'000000000049','7400',123.1232,151.86074201
'000000000049','8280',238.897,268.04284436
'000000000049','8840',385.0634,463.94949631
'000000000050','0720',223.5291,0
'000000000050','1000',80.0639,88.712116902
'000000000050','1120',305.76015,362.74563205
'000000000050','1640',130.8343,236.60603293
'000000000050','3360',322.27002,332.35575461
'000000000050','5120',246.0386,277.04511405
'000000000050','5680',131.9648,141.27036528
'000000000050','5775',188.917,236.84880644
'000000000050','6480',22.628225,23.947371119
'000000000050','6840',24.1934,27.765476796
'000000000050','7160',92.2085067,99.082039962
'000000000050','7360',112.967475,136.40637014
'000000000050','7400',123.1232,151.86074201
'000000000050','8280',238.897,270.29015479
'000000000050','8840',385.0634,373.26751996
'000000000051','0720',223.5291,249.38588021
'000000000051','1000',40.03195,43.575355083
'000000000051','1640',130.8343,138.54133677
'000000000051','3360',161.13501,178.54409714
'000000000051','5120',246.0386,281.50585757
'000000000051','5680',32.9912,35.230524505
'000000000051','5775',188.917,228.3622246
'000000000051','6480',22.628225,23.947371119
'000000000051','6840',96.7736,107.09881288
