CONTROL,SMSA,RMOV,XUNIT,XTEN,XCOND,XCOOP,XPER,XHEAD,XREL,XCOST,XINUS,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'000000000044','7400',1,'1','2','4','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000044','8840',1,'2','2','3','-6',1,'1','-6','3','-9','1','-9','-9','-9','-9','1'
'000000000045','1120',1,'3','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000045','1640',1,'1','1','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000045','5680',1,'2','2','3','-6',-7,'-9','-6','1','-9','1','-9','-9','-9','1','-9'
'000000000045','7160',1,'1','1','3','-6',9,'2','2','3','-9','1','-9','-9','-9','-9','-9'
'000000000045','7400',1,'-7','2','4','-6',3,'-7','-6','4','-9','1','-9','1','-9','-9','-9'
'000000000045','8280',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000046','5120',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000046','7160',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000046','7160',2,'1','3','3','-6',6,'1','-6','1','-9','2','-9','-9','-9','-9','-9'
'000000000046','8840',1,'1','2','3','-6',4,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000046','8840',2,'1','2','3','-6',4,'1','-6','1','-9','2','-9','-9','-9','-9','-9'
'000000000047','1000',1,'2','2','4','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000047','5680',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000047','8840',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000048','5120',1,'1','1','3','-6',3,'2','2','3','-9','1','-9','-9','-9','-9','-9'
'000000000048','7160',1,'1','1','3','-6',6,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000048','7400',1,'2','2','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000049','1120',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000049','1640',1,'4','-6','-6','-6',-6,'-6','-6','-6','-9','1','-9','-9','-9','1','-9'
'000000000049','7360',1,'1','1','3','-6',1,'1','-6','3','-9','1','-9','-9','-9','-9','1'
'000000000049','7360',2,'1','1','3','-6',1,'1','-6','1','-9','2','-9','-9','-9','-9','1'
'000000000049','7400',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000050','7160',1,'1','1','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000050','7400',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000050','8840',1,'1','1','3','-6',3,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000051','1640',1,'2','2','3','-6',2,'1','-6','1','-9','1','-9','-9','-9','-9','-9'
'000000000051','5680',1,'1','1','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000051','5775',1,'1','2','3','-6',2,'1','-6','2','-9','1','-9','-9','-9','-9','-9'
'000000000051','5775',2,'1','2','3','-6',3,'1','-6','2','-9','2','-9','-9','-9','-9','-9'
'000000000051','6840',-9,'-9','2','-9','-6',-7,'-9','-6','-9','-9','1','1','1','-9','1','-9'
'000000000051','7160',1,'1','1','3','-6',3,'2','2','3','-9','1','-9','-9','-9','-9','-9'
'000000000051','7400',1,'-6','-6','-6','-6',-6,'-6','-6','-6','1','1','-9','-9','-9','1','-9'
'000000000051','8280',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000051','8840',1,'2','2','3','-6',1,'1','-6','1','-9','1','-9','-9','-9','-9','1'
'000000000052','8280',1,'1','2','3','-6',3,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
'000000000053','1000',1,'1','1','3','-6',1,'1','-6','2','-9','1','-9','-9','-9','-9','1'
'000000000053','7360',1,'1','1','3','-6',1,'1','-6','3','-9','1','-9','-9','-9','-9','1'
'000000000053','7400',1,'1','1','3','-6',2,'1','-6','3','-9','1','-9','-9','-9','-9','-9'
