CONTROL,SMSA,PERSON,PASS,TRAN,TIMEJ,DISTJ,WHHRW,WHHRB,AMPM,HJOB,VEHCL,WHDY,WHOME,WINUS,WTIME,JTRAN,JVEHCL,JPASS,JTIMEJ,JDISTJ,JWTIME,JWHHRW,JWHHRB,JWHDY
'000000003238','5120',1,-6,1,8,8,-6,0,'2','1','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003238','5120',2,-6,1,8,8,-6,0,'2','1','1','-6','2','-9','1100','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003239','0720',1,-6,1,30,18,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003239','0720',2,-6,1,45,30,-6,0,'1','1','1','-6','2','-9','0630','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003240','0720',1,-6,1,45,30,2,0,'1','1','1','0','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003240','0720',2,-6,1,30,20,2,0,'1','1','1','0','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003240','5120',1,-6,2,40,26,-6,0,'1','1','1','-6','2','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003240','5120',2,-6,2,15,10,-7,0,'1','2','1','0','1','-9','0700','-9','-9','-9','2','2','-9','-9','-9','-9'
'000000003242','1120',1,-6,1,10,4,10,10,'1','1','1','0','1','-9','0800','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003242','5120',1,-6,1,40,21,3,0,'1','1','1','0','1','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003242','5120',2,-6,1,10,4,8,0,'1','2','1','0','1','-9','0900','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003244','0720',1,-6,1,5,3,-6,0,'-8','1','1','-6','2','-9','-8','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003244','0720',2,-6,1,5,3,-6,0,'-8','1','1','-6','2','-9','-8','-9','-9','-9','-9','2','-9','-9','-9','-9'
'000000003244','5120',1,-6,2,25,20,-6,0,'1','1','1','-6','2','-9','0730','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003244','5120',2,-6,2,15,12,-6,0,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003244','8280',1,-6,1,10,3,-6,27,'1','2','1','-6','2','-9','0901','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003245','5120',1,-6,2,59,35,-6,40,'1','2','1','-6','2','-9','0700','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003246','8280',1,-6,1,20,10,1,0,'1','1','1','1','1','-9','0830','-9','-9','-9','-9','-9','-9','-9','-9','-9'
'000000003247','0720',1,-6,1,20,16,-6,0,'1','1','1','-6','2','-9','0600','-9','-9','-9','-9','-9','-9','-9','-9','-9'
