"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month"
"Chicago-Naperville-Joliet","IL-IN-WI",630620,449083,5612,20778,155147,2
"Chico","CA",13553,12206,435,912,0,2
"Cincinnati-Middletown","OH-KY-IN",139649,117206,300,437,21706,2
"Clarksville","TN-KY",10746,10746,0,0,0,2
"Cleveland","TN",7679,7554,125,0,0,2
"Cleveland-Elyria-Mentor","OH",74086,72825,225,1036,0,2
"Coeur dAlene","ID",15480,15330,150,0,0,2
"College Station-Bryan","TX",13134,12331,0,0,803,2
"Colorado Springs","CO",77831,73241,355,476,3759,2
"Columbia","MO",22864,16074,6290,500,0,2
"Columbia","SC",66685,63927,108,0,2650,2
"Columbus","GA-AL",20027,17408,166,0,2453,2
"Columbus","IN",3992,3992,0,0,0,2
"Columbus","OH",104008,100141,500,3223,144,2
"Corpus Christi","TX",17911,17831,80,0,0,2
"Corvallis","OR",4210,3646,0,564,0,2
"Cumberland","MD-WV",1935,1935,0,0,0,2
"Dallas-Fort Worth-Arlington","TX",669185,618543,518,0,50124,2
"Dalton","GA",7111,6616,0,232,263,2
"Danville","IL",0,0,0,0,0,2
"Danville","VA",2486,2486,0,0,0,2
"Davenport-Moline-Rock Island","IA-IL",9966,9062,340,0,564,2
"Dayton","OH",27071,26921,0,150,0,2
"Decatur","AL",2822,2822,0,0,0,2
"Decatur","IL",0,0,0,0,0,2
"Deltona-Daytona Beach-Ormond Beach","FL",65325,57870,0,0,7455,2
"Denver-Aurora","CO",358775,255533,3954,0,99288,2
"Des Moines-West Des Moines","IA",49213,38532,453,0,10228,2
"Detroit-Warren-Livonia","MI",114492,103644,1468,329,9051,2
"Dothan","AL",2811,2811,0,0,0,2
"Dover","DE",20238,20238,0,0,0,2
"Dubuque","IA",4620,4423,197,0,0,2
"Duluth","MN-WI",5684,3684,0,239,1761,2
"Durham","NC",79340,79340,0,0,0,2
"Eau Claire","WI",8784,6254,0,490,2040,2
"El Centro","CA",7047,5847,0,0,1200,2
"El Paso","TX",28933,28933,0,0,0,2
"Elizabethtown","KY",5028,5028,0,0,0,2
"Elkhart-Goshen","IN",8325,8325,0,0,0,2
"Elmira","NY",361,361,0,0,0,2
"Erie","PA",1506,1506,0,0,0,2
"Eugene-Springfield","OR",21319,21319,0,0,0,2
"Evansville","IN-KY",15852,14887,0,965,0,2
"Fairbanks","AK",1488,1288,200,0,0,2
"Fargo","ND-MN",1622,1622,0,0,0,2
"Farmington","NM",6459,6459,0,0,0,2
"Fayetteville","NC",39736,39106,146,484,0,2
"Fayetteville-Springdale-Rogers","AR-MO",59917,49117,1652,4648,4500,2
"Flagstaff","AZ",13589,13589,0,0,0,2
"Flint","MI",6995,6995,0,0,0,2
"Florence","SC",3619,3619,0,0,0,2
"Florence-Muscle Shoals","AL",2010,2010,0,0,0,2
"Fond du Lac","WI",1725,1161,564,0,0,2
"Fort Collins-Loveland","CO",32223,29517,1117,373,1216,2
"Fort Smith","AR-OK",4832,4832,0,0,0,2
"Fort Walton Beach-Crestview-Destin","FL",26725,20135,0,0,6590,2
"Fort Wayne","IN",18178,17449,452,277,0,2
"Fresno","CA",41687,33458,534,1099,6596,2
"Gadsden","AL",1644,1644,0,0,0,2
"Gainesville","FL",16904,16904,0,0,0,2
"Gainesville","GA",29849,29849,0,0,0,2
"Glens Falls","NY",2631,2631,0,0,0,2
"Goldsboro","NC",4780,4780,0,0,0,2
"Grand Forks","ND-MN",0,0,0,0,0,2
"Grand Junction","CO",20686,20402,284,0,0,2
"Grand Rapids-Wyoming","MI",22865,21167,0,0,1698,2
"Great Falls","MT",2159,2159,0,0,0,2
"Greeley","CO",51418,50471,108,196,643,2
"Green Bay","WI",8391,7230,433,0,728,2
"Greensboro-High Point","NC",71856,68233,0,0,3623,2
"Greenville","NC",14910,14567,343,0,0,2
"Greenville","SC",60984,59127,0,225,1632,2
"Gulfport-Biloxi","MS",25298,23200,131,270,1697,2
"Hagerstown-Martinsburg","MD-WV",53462,53122,340,0,0,2
"Hanford-Corcoran","CA",8538,8129,0,409,0,2
"Harrisburg-Carlisle","PA",15049,14469,160,420,0,2
"Harrisonburg","VA",9829,9829,0,0,0,2
"Hartford-West Hartford-East Hartford","CT",38199,22607,514,0,15078,2
"Hattiesburg","MS",2851,2851,0,0,0,2
