"City","State","Total","X1_Units","X2_Units","X3.4_Units","X5.Inf_Units"
"Burlington","VT MSA",5211,5051,160,0,0
"Canton-Massillon","OH MSA",10530,9930,345,255,0
"Casper","WY MSA",1836,1836,0,0,0
"Cedar Rapids","IA MSA",4059,2959,0,0,1100
"Champaign-Urbana","IL MSA",4642,4642,0,0,0
"Charleston-NorthCharleston","SC MSA",60663,57990,157,412,2104
"Charleston","WV MSA",1808,1808,0,0,0
"Charlotte-Gastonia-RockHill","NC-SC MSA",139782,132334,434,0,7014
"Charlottesville","VA MSA",16068,10040,0,0,6028
"Chattanooga","TN-GA MSA",24216,22990,154,125,947
"Cheyenne","WY MSA",3451,3179,0,0,272
"Chicago-Gary-Kenosha","IL-IN-WI CMSA",381177,339856,3185,5514,32622
"Chico-Paradise","CA MSA",17533,16102,0,959,472
"Cincinnati-Hamilton","OH-KY-IN CMSA",95056,89845,180,4138,893
"Clarksville-Hopkinsville TN-KY MSA","7787",7086,0,113,588,NA
"Cleveland-Akron","OH CMSA",95902,93668,194,817,1223
"Colorado Springs","CO MSA",43331,40284,140,0,2907
"Columbia","MO MSA",13011,13011,0,0,0
"Columbia","SC MSA",32292,32114,0,0,178
"Columbus","GA-AL MSA",22273,20172,139,1748,214
"Columbus","OH MSA",122698,117417,487,61,4733
"Corpus Christi","TX MSA",10925,10283,192,0,450
"Corvallis OR MSA","2602",2436,166,0,0,NA
"Cumberland","MD-WV MSA",2058,2058,0,0,0
"Dallas-Fort Worth","TX CMSA",482291,439383,2632,6549,33727
"Danville","VA MSA",2838,2078,200,560,0
"Davenport-Moline-RockIsland","IA-IL MSA",3199,3199,0,0,0
"Dayton-Springfield","OH MSA",19099,19099,0,0,0
"Daytona Beach","FL MSA",94432,87078,2629,0,4725
"Decatur","Al MSA",4770,4770,0,0,0
"Decatur","IL MSA",524,524,0,0,0
"Denver-Boulder-Greeley","COCMSA",277028,239133,1424,7155,29316
"Des Moines","IA MSA",37945,17921,180,948,18896
"Detroit-Ann Arbor-Flint","MICMSA",190641,172635,651,792,16563
"Dothan","AL MSA",2947,2947,0,0,0
"Dover","DE MSA",8616,8616,0,0,0
"Dubuque","IA MSA",2513,2321,192,0,0
"Duluth-Superior","MN-WI MSA",2307,1988,0,319,0
"Eau Claire","WI MSA",2765,2515,0,0,250
"El Paso","TX MSA",15066,14378,80,130,478
"Elkhart-Goshen","IN MSA",8002,7792,70,0,140
"Elmira","NY MSA",333,333,0,0,0
"Enid","OK MSA",415,415,0,0,0
"Erie","PA MSA",2743,2343,0,0,400
"Eugene-Springfield","OR MSA",21058,19598,674,0,786
"Evansville-Henderson","IN-KYMSA",11515,11515,0,0,0
"Fargo-Moorhead","ND-MN MSA",887,887,0,0,0
"Fayetteville","NC MSA",9942,9543,0,0,399
"Fayetteville-Springdale-Rogers","AR MSA",20956,18743,293,0,1920
"Flagstaff","AZ-UT MSA",4560,4560,0,0,0
"Florence","AL MSA",1001,1001,0,0,0
"Florence","SC MSA",511,511,0,0,0
"Fort Collins-Loveland","CO MSA",30993,26147,1508,506,2832
