"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month","Year"
"Fort Smith","AR-OK MSA",49,43,6,0,0,2,2000
"Fort Walton Beach","FL MSA",160,103,0,0,57,2,2000
"Fort Wayne","IN MSA",150,150,0,0,0,2,2000
"Fresno","CA MSA",261,179,2,0,80,2,2000
"Gadsden","AL MSA",6,6,0,0,0,2,2000
"Gainesville","FL MSA",186,85,0,3,98,2,2000
"Glens Falls","NY MSA",24,19,0,0,5,2,2000
"Goldsboro","NC MSA",36,29,4,3,0,2,2000
"Grand Forks","ND-MN MSA",1,1,0,0,0,2,2000
"Grand Junction","CO MSA",99,80,10,4,5,2,2000
"Grand Rapids-Muskegon- Holland","MI MSA",484,362,6,7,109,2,2000
"Great Falls","MT MSA",2,2,0,0,0,2,2000
"Green Bay","WI MSA",84,65,14,0,5,2,2000
"Greensboro--Winston-Salem-- High Point","NC MSA",987,712,4,6,265,2,2000
"Greenville","NC MSA",194,54,12,0,128,2,2000
"Greenville-Spartanburg- Anderson","SC MSA",598,526,2,0,70,2,2000
"Harrisburg-Lebanon- Carlisle","PA MSA",75,75,0,0,0,2,2000
"Hartford","CT MSA",186,177,2,0,7,2,2000
"Hattiesburg","MS MSA",7,7,0,0,0,2,2000
"Hickory-Morganton-Lenoir","NC MSA",229,159,0,0,70,2,2000
"Honolulu","HI MSA",94,68,26,0,0,2,2000
"Houma","LA MSA",62,62,0,0,0,2,2000
"Houston-Galveston-Brazoria","Houston-Galveston-Brazoria TX CMSA",3058,2341,4,16,697,2,2000
"Huntington-Ashland","WV-KY- OH MSA",3,3,0,0,0,2,2000
"Huntsville","AL MSA",99,90,0,4,5,2,2000
"Indianapolis","IN MSA",829,809,16,4,0,2,2000
"Iowa City","IA MSA",94,26,4,0,64,2,2000
"Jackson","MI MSA",6,6,0,0,0,2,2000
"Jackson","MS MSA",217,185,0,0,32,2,2000
"Jackson","TN MSA",81,81,0,0,0,2,2000
"Jacksonville","FL MSA",666,593,0,0,73,2,2000
"Jacksonville","NC MSA",55,55,0,0,0,2,2000
"Jamestown","NY MSA",1,1,0,0,0,2,2000
"Janesville-Beloit","WI MSA",27,20,2,0,5,2,2000
"Johnson City-Kingsport- Bristol","TN-VA MSA",107,87,2,0,18,2,2000
"Johnstown","PA MSA",0,0,0,0,0,2,2000
"Jonesboro","AR MSA",23,21,2,0,0,2,2000
"Joplin","MO MSA",16,16,0,0,0,2,2000
"Kalamazoo-Battle Creek","MI MSA",88,77,0,0,11,2,2000
"Kansas City","MO-KS MSA",1065,826,38,20,181,2,2000
"Killeen-Temple","TX MSA",141,107,22,12,0,2,2000
"Knoxville","TN MSA",360,292,2,4,62,2,2000
"Kokomo","IN MSA",25,23,2,0,0,2,2000
"La Crosse","WI-MN MSA",31,15,8,0,8,2,2000
"Lafayette","LA MSA",117,117,0,0,0,2,2000
"Lafayette","IN MSA",65,33,6,12,14,2,2000
"Lake Charles","LA MSA",86,77,0,0,9,2,2000
"Lakeland-Winter Haven","FL MSA",201,193,8,0,0,2,2000
"Lancaster","PA MSA",78,78,0,0,0,2,2000
"Lansing-East Lansing","MI MSA",89,83,6,0,0,2,2000
"Laredo","TX MSA",128,119,0,3,6,2,2000
"Las Cruces","NM MSA",97,53,0,0,44,2,2000
"Las Vegas","NV-AZ MSA",2347,1851,16,12,468,2,2000
"Lawrence","KS MSA",109,34,6,0,69,2,2000
"Lawton","OK MSA",17,17,0,0,0,2,2000
"Lewiston-Auburn","ME MSA",8,8,0,0,0,2,2000
"Lexington","KY MSA",277,261,8,8,0,2,2000
"Lima","OH MSA",6,6,0,0,0,2,2000
"Lincoln","NE MSA",138,79,4,0,55,2,2000
"Little Rock-North Little Rock","AR MSA",249,225,16,8,0,2,2000
"Longview-Marshall","TX MSA",15,15,0,0,0,2,2000
"Los Angeles-Riverside- Orange County","CA CMSA",3775,2515,44,114,1102,2,2000
"Louisville","KY-IN MSA",539,441,2,8,88,2,2000
"Lubbock","TX MSA",68,56,2,3,7,2,2000
"Lynchburg","VA MSA",78,74,4,0,0,2,2000
"Macon","GA MSA",165,165,0,0,0,2,2000
"Madison","WI MSA",338,123,30,34,151,2,2000
"Mansfield","OH MSA",32,22,0,3,7,2,2000
"McAllen-Edinburg-Mission","TX MSA",415,364,8,15,28,2,2000
"Medford-Ashland","OR MSA",82,76,2,4,0,2,2000
"Melbourne-Titusville-Palm Bay","FL MSA",284,277,4,3,0,2,2000
"Memphis","TN-AR-MS MSA",680,558,82,0,40,2,2000
"Merced","CA MSA",59,59,0,0,0,2,2000
"Miami-Fort Lauderdale","FL CMSA",1606,1220,18,10,358,2,2000
"Milwaukee-Racine","WI CMSA",380,296,38,7,39,2,2000
