"stateFIPS","countyFIPS","total","vac","nostat","vac_days","nostat_days"
17,23,7572,260,733,156426,556269
17,25,7920,121,2319,74240,2576769
17,27,13908,333,1232,155064,1034090
17,29,22963,818,1046,506870,839816
17,31,2066601,94415,54378,48133038,36571415
17,33,8638,423,635,243892,511042
17,35,4345,2,559,238,404924
17,37,44699,529,6636,253634,6294727
17,39,7581,368,2599,200285,959554
17,41,8198,308,642,170589,519395
17,43,366720,8214,8975,3402603,7107672
17,45,8181,418,630,252072,500180
17,47,3137,99,292,57505,248963
17,49,14609,236,834,130880,610967
17,51,8135,315,872,161890,674121
17,53,5713,251,514,133878,429673
17,55,17908,832,1387,517261,933070
17,57,15926,572,2794,317429,2629519
17,59,1697,0,425,0,355749
17,61,5902,462,343,293313,280085
17,63,19771,309,2024,136199,1473718
17,65,3740,93,591,75455,535821
17,67,8649,252,1445,174686,1231610
17,69,1183,0,262,0,224521
17,71,2876,0,1204,0,1217191
17,73,22583,675,2810,460512,2562637
17,75,11214,202,1552,119590,1173582
17,77,29243,1170,3403,633336,2366994
17,79,4222,124,364,84183,273774
17,81,17570,659,1489,377426,1167562
17,83,12718,182,3856,94718,4417347
17,85,12578,447,2648,290039,2461170
17,87,5330,0,1020,0,749469
17,89,182565,4724,12211,2034885,10220103
17,91,47415,1313,4712,761078,4247710
17,93,44999,277,7859,93236,6611119
17,95,24065,1055,2960,623778,2867725
17,97,272698,8225,15166,3504824,14025363
17,99,50828,1620,5179,996653,4185546
17,101,6325,298,407,216696,263573
17,103,15208,455,2071,242211,1558312
17,105,15775,336,2383,201361,2131508
17,107,12064,455,1575,311627,1456133
17,109,14591,409,1878,233654,1752270
17,111,123639,2002,11151,710822,9452498
17,113,77877,1466,10246,851602,10035254
17,115,52323,3073,3654,1921234,3051299
17,117,21022,772,1807,422846,1219588
17,119,118481,5509,4643,3290361,3711760
17,121,19108,860,2151,579793,1735285
17,123,6425,104,2140,49754,2349079
17,125,7017,197,1367,107582,1099598
17,127,7446,266,928,174033,614582
17,129,8038,87,3392,49946,3815023
17,131,6523,80,1326,36648,1208033
17,133,13452,148,936,89954,779456
17,135,11735,507,980,286831,701543
17,137,15675,691,1470,329736,1129329
17,139,5418,138,432,72702,345344
17,141,23149,560,3113,245338,3000911
17,143,85781,4624,4842,2172940,3931521
17,145,9180,404,836,261036,603831
17,147,6099,102,770,50948,565142
17,149,9454,222,3740,138149,3956633
17,151,1285,0,228,0,156353
17,153,2774,113,545,93987,451036
17,155,3399,0,1823,0,1759860
17,157,12843,391,1303,224898,1069712
17,159,7558,426,504,238925,384038
17,161,66541,2340,3265,1330279,2719893
17,163,120812,6715,8993,3914607,7585475
17,165,12324,386,1308,255646,1048587
17,167,93364,4477,7187,2458987,5637480
17,169,3287,83,416,59081,379259
17,171,2466,40,585,36652,460768
17,173,8486,228,998,126579,945067
17,175,3058,50,1196,32793,1315684
17,177,22540,1373,2410,817145,2357705
17,179,59319,1266,6102,730298,5226006
17,181,7225,135,808,88187,567337
17,183,35143,2082,2159,1405652,1465798
17,185,5924,219,574,115073,417214
17,187,7835,279,1033,168226,856880
17,189,5737,71,602,25694,398756
17,191,6821,273,709,144475,512197
17,193,7133,295,846,205935,787869
17,195,26165,836,1948,406527,1746908
17,197,254578,3863,22626,1762502,20224331
17,199,29979,902,2340,581832,1753131
17,201,131116,6183,8272,2806345,7621525
17,203,18625,176,5297,89833,5611850
18,1,13245,671,896,357407,819744
18,3,156721,10175,5641,5877522,5319176
18,5,32299,1246,1669,480347,1377066
18,7,3263,95,476,52544,256545
18,9,6557,512,457,359116,397580
18,11,23323,520,1675,201756,1174180
18,13,7862,0,1648,0,1436911
18,15,9113,238,1047,147950,689888
18,17,16470,825,1591,472000,1168947
18,19,50722,1924,2262,1189664,2204023
