"fips","total","vac","nostat","vac_days","nostat_days"
6077,230299,4916,7952,1380165,3685861
6079,113488,610,7839,343444,5139180
6081,265819,3091,4333,1040839,1527568
6083,152462,1342,5551,663006,3639219
6085,624038,5105,8864,1667795,4855406
6087,98034,1500,2553,673224,1614296
6089,71331,2092,2142,845654,1506330
6091,159,0,22,0,12775
6093,17109,950,934,402150,608474
6095,152768,1727,2299,839561,1306638
6097,191048,4217,5530,1445138,2798923
6099,176991,3234,5054,1096446,2857350
6101,33204,504,791,194943,412855
6103,24137,695,802,274584,531404
6105,1121,52,337,24046,246085
6107,130621,1065,6251,282565,3262020
6109,20529,214,1339,88545,855230
6111,277448,1194,4392,658697,2166850
6113,72565,1047,2366,298656,1335867
6115,26558,1914,2101,741449,1279869
8001,180735,6393,11551,2141158,7278430
8003,6522,120,504,52977,315558
8005,247435,7828,12768,2764326,8027736
8007,5307,18,1890,3843,1382092
8009,1583,206,253,118898,196952
8011,2248,234,288,138827,190822
8013,133830,2039,3993,905367,2352978
8015,8382,241,1969,124931,1297208
8017,228,0,48,0,35980
8019,2295,0,383,0,239027
8021,1502,2,379,787,226753
8023,838,1,411,117,128526
8025,1202,59,167,38535,115400
8027,1534,4,311,2158,197990
8029,16784,184,6252,69790,5078000
